dataset_sizes,loki_time,nn_mapes,nn_mape_uncertainties,proj_mapes,proj_mape_uncertainties,nn_rmses,nn_rmse_uncertainties,proj_rmses,proj_rmse_uncertainties
175,4093.25,80.1392388792424,0.26855812917398325,77.58590765802587,0.2482607557101342,0.12471917328104046,8.636280109713866e-05,0.11523039625767131,7.760491302524257e-05
200,4678.0,81.03603094276083,0.3492053386355427,73.0184351642888,0.26978410020958327,0.11912161745510594,0.00028887196303780386,0.10987395441219029,0.0002599232873969117
250,5847.5,65.29497050126739,0.26584970020292126,57.07918526813121,0.2067403383136983,0.09558021907705114,1.936339823481459e-06,0.08780499133488276,2.876220519266216e-05
300,7017.0,45.34576070720321,0.137092210499322,38.41186319661658,0.08944781375578308,0.07720045883921266,3.7204904469688434e-05,0.0716233904382792,9.987310099292733e-06
350,8186.5,49.298279711861184,0.1885099141347678,43.53056033184227,0.20626593408022512,0.06760577461013569,3.9856832383719046e-05,0.06430315787094829,6.643931997213012e-05
400,9356.0,28.34467551521039,0.19906572962624786,24.48246191936027,0.2010649894552649,0.06512784200741037,0.00021067712272819205,0.06111386496603495,0.0001688257026970697
500,11695.0,21.48384347602757,0.04287760984047691,20.1907928475837,0.04601879172140974,0.05275442661681877,2.7433545058476675e-05,0.050792588921680884,1.227183649031779e-05
600,14034.0,13.62253110104122,0.10717504741413492,12.937758281762221,0.0765778139967846,0.04483526529601181,9.179288925117921e-05,0.04327199800132055,9.459546597727281e-05
700,16373.0,16.692720462899256,0.006196306278095182,16.604381826447625,0.029029730372681327,0.0418118736381766,2.40628900891257e-06,0.04062163173469842,3.104995397222818e-06
800,18712.0,16.68652415662116,6.59722368031097e-16,16.633411556820306,0.0,0.04181427992718551,2.5770405001214727e-18,0.04061852673930119,3.865560750182209e-18
900,21051.0,16.68652415662116,6.59722368031097e-16,16.633411556820306,0.0,0.04181427992718551,2.5770405001214727e-18,0.04061852673930119,3.865560750182209e-18
1000,23390.0,16.68652415662116,6.59722368031097e-16,16.633411556820306,0.0,0.04181427992718551,2.5770405001214727e-18,0.04061852673930119,3.865560750182209e-18
