lambda_physics_value,loss_train_total,loss_train_total_err,loss_train_physics,loss_train_physics_err,loss_train_data,loss_train_data_err,loss_val,loss_val_err,loss_val_physics,loss_val_physics_err
0.9,0.00016820619941270513,7.68914202277647e-07,0.000186879756186114,8.532764887481697e-07,1.4418844957359235e-07,1.0125619269150058e-08,1.4322835936980026e-07,1.9743878373633663e-08,0.00019007599142326152,5.5173718633265625e-06
0.99,0.00018556907915833485,9.463183706368223e-07,0.00018744201277123184,9.55766978705699e-07,1.486514848499354e-07,1.1305854159287276e-08,1.714610579216469e-07,2.8085196349469045e-08,0.00020439060961190383,7.4490285895630664e-06
0.999,0.00019583332209545764,1.7782790796809194e-06,0.000196029100376834,1.7800401153754432e-06,2.508189885796597e-07,1.9753204841809527e-08,2.42134385768793e-07,2.0033685055325027e-08,0.0002071323503666362,5.344244971838654e-06
0.9999,0.00030605068969549027,1.03827075248378e-05,0.00030605053196059817,1.0382698109102081e-05,1.5773489621834047e-10,9.944592448086366e-12,1.56701638575214e-06,9.342114674425528e-08,0.0003078597207238435,1.2941308917303596e-05
0.99999,0.001273388121149328,9.59748282910229e-05,0.0012733879913371777,9.59748200839161e-05,1.2981215237728107e-10,8.763173225735237e-12,1.2931574135982375e-05,8.781235991069043e-07,0.0012844732257127262,9.848709886035558e-05
0.999999,0.009651259770418155,0.0005370492282751145,0.009651259674357274,0.0005370492239539934,9.606088480438952e-11,4.713355120551393e-12,9.508863389492034e-05,4.654159833912009e-06,0.009542212790232867,0.0005257562194681545
