lambda_physics_value,loss_train_total,loss_train_physics,loss_train_data,loss_val
0.0,1.0419350874144585e-07,0.0,1.0419350874144585e-07,8.12862259067515e-08
0.041666666666666664,7.828238138125212e-06,7.717114702523149e-06,1.1112343823957256e-07,5.126849230236985e-08
0.08333333333333333,1.554918441637058e-05,1.5442478014861664e-05,1.0670639909780756e-07,1.3081877584681934e-07
0.125,2.3142939863764286e-05,2.3048665576815582e-05,9.427428685069294e-08,5.984418958178139e-08
0.16666666666666666,3.094556042869249e-05,3.085014320264008e-05,9.541722832769522e-08,7.865751740609994e-08
0.20833333333333331,3.810859699143415e-05,3.803812484407879e-05,7.047214555441595e-08,3.512428708063453e-08
0.25,4.6073090873800764e-05,4.599633197931258e-05,7.675889447202877e-08,5.86491090700747e-08
0.29166666666666663,5.38522702295162e-05,5.377641426864885e-05,7.585596312447142e-08,1.2085291068615333e-07
0.3333333333333333,6.152444080502822e-05,6.145259673210665e-05,7.184407081908277e-08,1.1420197631650809e-07
0.375,6.933527408703813e-05,6.926564731632257e-05,6.96267706998821e-08,1.3369405214689323e-07
0.41666666666666663,7.686897151774986e-05,7.680600228821149e-05,6.296923175401774e-08,8.265473718438443e-08
0.4583333333333333,8.456172937924569e-05,8.45028351836464e-05,5.8894193368471306e-08,7.971349128865767e-08
0.5,9.243750103428097e-05,9.238229985633338e-05,5.5201177947594716e-08,1.2816418011425413e-07
0.5416666666666666,9.990449316664748e-05,9.985531188960849e-05,4.918127594240041e-08,7.195945396460957e-08
0.5833333333333333,0.00010771721346351959,0.00010767125565193604,4.595781267487572e-08,4.305007382185977e-08
0.625,0.00011547575887692258,0.0001154338934640905,4.186541290347456e-08,9.750937186936426e-08
0.6666666666666666,0.0001234190793917381,0.000123380659150297,3.8420240327023254e-08,5.472227557561382e-08
0.7083333333333333,0.00013101579321751403,0.00013098294215299294,3.2851065692514826e-08,1.3411822931175267e-07
0.75,0.000138488503676614,0.00013846140863443452,2.7095042179503535e-08,1.3473833982970973e-07
0.7916666666666666,0.00014639187446207984,0.00014636951799020873,2.2356472414590096e-08,8.262111141448259e-08
0.8333333333333333,0.00015357688079586907,0.00015355950013700253,1.738065835817556e-08,1.0960345222201795e-07
0.875,0.00016200513740969403,0.00016199100709145508,1.4130318238958495e-08,3.9353921016527235e-08
0.9166666666666666,0.00016916445110726205,0.00016915535598697098,9.095120022598958e-09,4.367558000240024e-08
0.9583333333333333,0.0001762021095419983,0.00017619792659795145,4.18294392218558e-09,8.135645853144524e-08
1.0,11.839169553782796,11.839169553782796,0.0,0.1772146642923355
