,nn_model,nn_model_proj,pinn_model,pinn_model_proj,loki,loki_proj
p_mape,1.657e+00,2.716e-08,1.667e+00,1.516e-08,6.207e-03,3.487e-09
i_mape,7.876e+00,1.358e-07,1.240e+01,5.878e-08,3.396e-02,4.928e-08
ne_mape,2.969e+00,5.484e-14,1.299e+01,5.584e-14,7.474e-01,5.334e-14
p_sem,2.242e-01,6.812e-09,2.301e-01,5.801e-09,9.396e-04,7.147e-10
i_sem,2.315e+00,1.727e-08,7.136e-01,1.240e-08,1.694e-03,5.441e-09
ne_sem,4.765e-01,4.244e-15,9.681e-01,5.436e-15,2.791e-01,4.046e-15
