dataset_sizes,loki_time,nn_mapes,nn_mape_uncertainties,proj_mapes,proj_mape_uncertainties,nn_rmses,nn_rmse_uncertainties,proj_rmses,proj_rmse_uncertainties
300,7017.0,13.874488793664545,1.0064285305148037,12.888645193969353,0.8759521861837098,0.03042828999026359,0.001061176807373787,0.029928417983302043,0.001030603420628657
400,9356.0,11.883076478473534,0.7919087121978252,11.118200372038807,0.7639547483574552,0.02487619443060459,0.0011084574389569404,0.024604127593228428,0.001062519713427599
500,11695.0,11.095406407144928,1.177280676416367,10.409175772157935,1.0814236483024164,0.02388066183027527,0.0009265019109422653,0.023773156635456417,0.0008808580306092042
600,14034.0,10.02984621682702,0.8154405798984014,9.408900829231033,0.7356919874713025,0.021932282179670196,0.0010885813074731736,0.021971535257820297,0.0010511124588703966
700,16373.0,10.09524481178431,1.0431400514322429,9.585567537479971,0.9909778894301644,0.021208007576121766,0.0017068904647162175,0.02140165192184288,0.0016466072083560152
800,18712.0,10.919381781729967,1.3096646967006167,10.236268891011722,1.1736416601900315,0.022147807963460935,0.0018135698412864855,0.022334012476902386,0.0017107764213591327
900,21051.0,10.987120862671272,1.6753320816200314,10.23361889962012,1.4899816099296823,0.01969050723388896,0.0016279859168354877,0.019847903282772618,0.0014888448423158313
1000,23390.0,8.326532374891155,1.239696742078786,7.810951191893354,1.1461800937080566,0.01758574935578241,0.0015696986208186504,0.018058966581911983,0.0014725241465063234
1250,29237.5,12.45838741510044,1.5979640022122084,11.828846118586512,1.537549019785728,0.021891796478306462,0.002466399475708936,0.02207943005474937,0.002361471685303865
1500,35085.0,11.70400206275865,1.7733090593979721,10.989551455108334,1.649512120719182,0.02256533479441612,0.002979167381710374,0.022948066960970872,0.0028313763031830564
1750,40932.5,11.77035202820942,1.6174929599179069,11.092380952548353,1.501360528968275,0.019785653327429726,0.0023522482353460824,0.020025938556525142,0.002151592999529824
2000,46780.0,12.229645806096846,2.0628023690770325,11.363566323842472,1.8914623349398918,0.020480350530572445,0.002939326048172769,0.020948722586555824,0.0027170284915204934
