architectures,num_params,nn_mapes,uncertanties_mape_nn,proj_mapes,uncertanties_mape_proj,nn_rmses, uncertanties_rmse_nn,proj_rmses,uncertanties_rmse_proj
"[1, 1]",23,298.7401599782791,,277.0878403424321,,0.26065266899485706,,0.23014049100691175,
"[2, 2]",48,234.21683237889818,,217.0769150260363,,0.2237208514121033,,0.20001819932567097,
"[4, 4]",104,193.34629789325365,,189.86345495635874,,0.16207947754448795,,0.15447866101163701,
"[6, 6]",168,70.73521265092047,,69.41728940260579,,0.07676419501964474,,0.0723454632235795,
"[8, 8]",240,42.40926671298006,,41.22703292024532,,0.06753573024717112,,0.06500960111669797,
"[12, 12]",408,64.86683452337076,,63.931717544841064,,0.06038359763574288,,0.058190699814842116,
"[18, 18]",720,37.80632452902496,,37.14852950328586,,0.05104807573835605,,0.04979676197403743,
"[26, 26]",1248,24.891038731898366,,23.188785879447984,,0.03581814254067269,,0.034240982680802445,
"[37, 37]",2183,27.6166827126486,,27.362823807784693,,0.036378286157462,,0.035511812008194484,
"[54, 54]",4104,24.26391985002813,,23.87795948198437,,0.031570978758827715,,0.03086800575213912,
"[78, 78]",7800,18.87105137692177,,18.606537145397215,,0.03194018639720487,,0.031208026465650164,
"[112, 112]",15008,19.164081359075613,,18.661964223032175,,0.0293825093975335,,0.028980428262605797,
"[162, 162]",29808,10.354771016098201,,10.075737608638699,,0.024685622055793523,,0.024357983784716843,
"[233, 233]",59415,11.208477869346517,,10.905955914651425,,0.022287310026373713,,0.022191913958942926,
"[335, 335]",119595,10.204943856162602,,10.040236236566106,,0.024870912405241342,,0.02467525977511634,
"[483, 483]",243915,10.04300465382649,,9.895757811803788,,0.02214128298582861,,0.022045912532639177,
"[695, 695]",498315,5.877242877673921,,5.787082299845105,,0.020994527987620987,,0.020981769947629365,
"[1000, 1000]",1022000,5.708832934055193,,5.590275735485689,,0.021698411463112303,,0.021728024821526935,
