architecture,num_params,output_feature,mapes_nn,mapes_proj,rmses_nn,rmses_proj
"[1, 1, 1, 1]",27,0,371.09580885053964,107.39310254978372,0.42774125326818085,0.11522433200005461
"[1, 1, 1, 1]",27,4,110.035680253485,39.3278239281331,0.1791745816043199,0.0740929383518242
"[1, 1, 1, 1]",27,16,33.95263813548699,9.27751220242013,0.19057528611025815,0.06499932294065945
"[2, 2, 2, 2]",60,0,366.77766224085804,117.75079532904793,0.4192335632957316,0.11399601676587053
"[2, 2, 2, 2]",60,4,150.66426382254102,54.548140249897436,0.20200969405075797,0.08167414971693175
"[2, 2, 2, 2]",60,16,40.668968562494854,11.05761885470576,0.21161835740450458,0.07186186082250676
"[3, 3, 3, 3]",99,0,196.0947180974971,115.87696326649235,0.21387673262034018,0.11105228335004483
"[3, 3, 3, 3]",99,4,33.18375017611325,8.369390137510424,0.11738414773247899,0.052696710444520574
"[3, 3, 3, 3]",99,16,17.93654891884355,6.008065231240833,0.11800626533983781,0.047515036655923194
"[4, 4, 4, 4]",144,0,122.46607639531982,113.97896171998816,0.14411614309303217,0.10121001460639417
"[4, 4, 4, 4]",144,4,56.562373452899685,22.844611714429252,0.13919406758587596,0.06540760086144935
"[4, 4, 4, 4]",144,16,24.374797252191236,7.706243744399026,0.14514056451155904,0.05671488599275175
"[5, 5, 5, 5]",195,0,64.79000734191968,47.98582139657536,0.08833020244505378,0.052977680639955095
"[5, 5, 5, 5]",195,4,79.31059445562573,47.16529201896024,0.06550844070371688,0.03769771936861311
"[5, 5, 5, 5]",195,16,15.20328273618471,6.6710129846355,0.07639511654688264,0.03315565964104239
"[6, 6, 6, 6]",252,16,9.147278573073121,4.470721781982656,0.05662449290850029,0.026615781341593963
"[6, 6, 6, 6]",252,0,98.23917180472948,35.26674999766119,0.07833923373914287,0.030690617967800256
"[6, 6, 6, 6]",252,4,44.351954616429765,5.792617847990358,0.057820356543860654,0.03549158884296465
"[7, 7, 7, 7]",315,0,70.5018226430551,18.90015068478807,0.10616191182991169,0.025825072244010722
"[7, 7, 7, 7]",315,4,73.4952137337874,46.95391415803016,0.05398117448864299,0.03843205316615884
"[7, 7, 7, 7]",315,16,13.268930274594403,6.8448653976076494,0.06178608297290753,0.030811124086861204
"[8, 8, 8, 8]",384,0,29.466281943517092,26.076697192856884,0.04846474982805184,0.02509793952252794
"[8, 8, 8, 8]",384,4,28.19318009661616,13.520186014132685,0.06006702530861969,0.0338029958699293
"[8, 8, 8, 8]",384,16,11.478897401884188,4.9880174569472215,0.07142682133443364,0.02941670089796178
"[10, 10, 10, 10]",540,0,76.19143810379077,29.139336621611072,0.057972626638163265,0.02442893876246039
"[10, 10, 10, 10]",540,4,16.493024384565388,8.215176056630963,0.09040658395874472,0.04464399074156707
"[10, 10, 10, 10]",540,16,14.719701220194233,5.320643269402649,0.09429717409704957,0.04191151825886327
"[11, 11, 11, 11]",627,16,9.95703895665258,4.289214606632057,0.04854476826744788,0.023015897345698436
"[11, 11, 11, 11]",627,0,34.8372523857018,16.962980088888017,0.028182636552438682,0.012404451027610154
"[11, 11, 11, 11]",627,4,60.351436517210914,37.01378512947338,0.04247696725134072,0.030362632961396248
"[13, 13, 13, 13]",819,16,7.6514777341474,3.6426256554621084,0.040658021353138826,0.020582865227118125
"[13, 13, 13, 13]",819,4,28.24462477389243,18.30911492248014,0.03924857750232645,0.029704455119877682
"[13, 13, 13, 13]",819,0,51.56771721623529,19.070667427937536,0.037878501684555976,0.016338463500324824
"[16, 16, 16, 16]",1152,0,55.752656569555235,18.599430443535205,0.043004439196574124,0.014547399129618433
"[16, 16, 16, 16]",1152,4,65.03156580412002,40.57502803546543,0.05090678115948664,0.03338626399031847
"[16, 16, 16, 16]",1152,16,11.504685122027928,4.801252723167155,0.05585485395643047,0.025974931926908706
"[18, 18, 18, 18]",1404,0,35.75042971420188,13.425844330689701,0.02890444430589707,0.011558494951671234
"[18, 18, 18, 18]",1404,4,10.879047171073523,4.9348104849306385,0.024129923302383845,0.02469594108255387
"[18, 18, 18, 18]",1404,16,4.915759426952469,1.5781269645673006,0.029803396719629952,0.01163281600666171
"[19, 19, 19, 19]",1539,0,24.2697040586447,10.164459839190933,0.023553123720149262,0.008817076169894945
"[19, 19, 19, 19]",1539,4,13.447506720874337,7.622555227235842,0.024537323600713746,0.025093517418534852
"[19, 19, 19, 19]",1539,16,4.548958572516216,1.7270926090166534,0.028327129705510705,0.012446731968830511
"[22, 22, 22, 22]",1980,0,20.123002734542602,8.37797813430351,0.020177322577434462,0.007066930313495294
"[22, 22, 22, 22]",1980,4,5.45153962094259,3.6505921719993735,0.022710808853893323,0.023721391002677502
"[22, 22, 22, 22]",1980,16,4.40763360034856,1.6699878622267315,0.0248303222397948,0.011941751092928119
"[25, 25, 25, 25]",2475,4,19.383952350610983,12.593665382130498,0.027041091606734863,0.025007083948704496
"[25, 25, 25, 25]",2475,16,5.288788781007769,2.085012814295981,0.03042036385136227,0.015102335684399303
"[25, 25, 25, 25]",2475,0,19.756232047670682,9.315809188093272,0.020392662589883977,0.008602791946968806
"[30, 30, 30, 30]",3420,0,21.279854288755978,11.709605004084068,0.021394523213800427,0.009485778118588301
"[30, 30, 30, 30]",3420,4,15.196914909872552,9.930978975111259,0.020726133014184786,0.024232232558360225
"[30, 30, 30, 30]",3420,16,3.800471727290528,1.4361082998735135,0.024041498301597103,0.01048056930779913
"[35, 35, 35, 35]",4515,0,21.959650507335887,10.552866785993896,0.01451442040404545,0.006609975096891634
"[35, 35, 35, 35]",4515,4,12.93882234211075,8.895297689455246,0.02263980548949265,0.024258815358489238
"[35, 35, 35, 35]",4515,16,3.3634098722233747,1.4232051337655274,0.019457616746665143,0.009596236832096209
"[41, 41, 41, 41]",6027,4,7.900907825007662,5.418991017912937,0.022388935920677266,0.02526510527228473
"[41, 41, 41, 41]",6027,0,11.360920398082264,6.04838974824696,0.012994920619779153,0.005414624454085504
"[41, 41, 41, 41]",6027,16,3.316929610808489,1.2772382984086421,0.02026785732750199,0.010490930109235174
"[48, 48, 48, 48]",8064,0,11.868163756285805,6.317619940935989,0.01395580496096014,0.006064600219741259
"[48, 48, 48, 48]",8064,4,16.961049600802834,8.198434091323035,0.02012590290430033,0.023669493604913865
"[48, 48, 48, 48]",8064,16,2.8999224680723446,1.2101080823254318,0.018891809769907265,0.01026414581523816
"[56, 56, 56, 56]",10752,4,8.784669977851427,5.036026337045866,0.01912619560390857,0.024142423815795115
"[56, 56, 56, 56]",10752,16,2.914660408467862,1.2288601137418542,0.017777790151853885,0.009446428764663683
