architectures,num_params,mapes_nn,uncertanties_mape_nn,mapes_proj,uncertanties_mape_proj,rmses_nn,uncertanties_rmse_nn,rmses_proj,uncertanties_rmse_proj
"[1, 1, 1, 1]",27,220.09960887326474,953.9806020181035,208.24913561481395,1003.5896180656049,0.25535220621709825,0.019164576363694095,0.22795839305107435,0.02079328289087335
"[2, 2, 2, 2]",60,250.1306597234606,1539.7533133949985,235.51771286103866,1555.5284614899067,0.2595343119065002,0.018961696365554323,0.2302574633139313,0.020105026900586413
"[3, 3, 3, 3]",99,121.24700161094533,524.2745369805294,121.69990983392442,532.6385864629578,0.1385786744358238,0.011083859655003749,0.13391908174298162,0.01276776524596161
"[4, 4, 4, 4]",144,115.36576757499648,724.4355791501215,114.4154290043355,721.8253755194245,0.12915180421596847,0.011358643169704127,0.12422794136021939,0.012102111681156862
"[5, 5, 5, 5]",195,79.27528432749831,502.69801374134875,76.92510421463386,512.8929705775263,0.08520344504772925,0.006119542882449868,0.08065671617455865,0.007495606864664617
"[7, 7, 7, 7]",315,48.344002967889004,159.1623311532832,47.41898124688389,160.77568601418142,0.06457831154000886,0.004102295042696767,0.05984084785658545,0.004542534148063833
"[9, 9, 9, 9]",459,38.37979278698869,233.18510105733267,37.89058464172907,231.4287205684641,0.04526610725375285,0.0025344807177429024,0.04342520880842801,0.0033741457034890234
"[11, 11, 11, 11]",627,39.64741696031791,280.5497447373775,38.823497255843506,280.30585346838814,0.04067690213805034,0.0025656657606543324,0.03901925286558663,0.0031230227863029737
"[14, 14, 14, 14]",924,28.397819119169093,126.70667068943914,28.118506320766144,129.39393232601262,0.03971512267898265,0.0019691207955575456,0.037948638898670665,0.002825264376719923
"[18, 18, 18, 18]",1404,33.00023446257355,189.53268711721242,31.800897717276484,192.7002148145362,0.0323569762475026,0.001949429968116565,0.030977596474427955,0.002576823606396404
"[22, 22, 22, 22]",1980,28.720104056283503,260.7071542293691,28.11642055998409,260.71226925341807,0.02436649445641191,0.0011540698430574923,0.02331508753865669,0.001751592028135851
"[28, 28, 28, 28]",3024,17.390613803427176,83.12457542723129,17.024790952543015,92.407033386852,0.02670483783920873,0.0015981645520335246,0.025530158279709784,0.002127176259753557
"[35, 35, 35, 35]",4515,23.391681415884577,214.5819670225318,22.798835123560696,215.00202771006124,0.020952236042250372,0.0012396025048275264,0.02009845233634942,0.0016292437396209945
"[44, 44, 44, 44]",6864,11.661856258725138,76.43937513126684,11.246116122604418,76.44234436506717,0.017559373347448004,0.0014563050601982268,0.01723729179130812,0.0016426817097617754
"[55, 55, 55, 55]",10395,18.35586594412067,104.78695583500546,17.21659005892815,101.5428725411166,0.022577280967575174,0.0018195420714933698,0.021850847692780964,0.0020786071075720633
