Initial Model,Projected Model,W Matrix,Metric,Mean Improv (%),Overall Improv (%),x1 Improv (%),v1 Improv (%),x2 Improv (%),v2 Improv (%)
NN,NN,I,RMSE,96.0,60.0,96.0,85.0,87.0,74.0
NN,NN,I,MAPE,63.0,33.0,73.0,71.0,66.0,52.0
PINN,PINN,I,RMSE,97.0,61.0,98.0,86.0,87.0,75.0
PINN,PINN,I,MAPE,65.0,33.0,75.0,73.0,67.0,55.0
NN,PINN,I,RMSE,98.0,65.0,100.0,89.0,88.0,79.0
NN,PINN,I,MAPE,74.0,40.0,82.0,83.0,67.0,69.0
