,nn_model,nn_model_proj,pinn_model,pinn_model_proj,loki,loki_proj
p_mape,1.075e+00,1.258e-08,1.093e+00,1.162e-08,7.747e-03,3.431e-09
i_mape,1.882e+01,2.052e-08,1.005e+01,1.289e-07,3.559e-02,3.284e-08
ne_mape,2.167e+00,4.915e-14,2.162e+01,5.094e-14,9.458e-01,5.134e-14
p_sem,2.565e-01,8.515e-09,2.609e-01,7.751e-09,1.428e-03,6.222e-10
i_sem,1.533e+01,5.636e-09,6.168e-01,1.994e-08,1.692e-03,3.983e-09
ne_sem,5.336e-01,3.904e-15,7.689e+00,3.912e-15,3.608e-01,4.811e-15
p_abs_err,2.160e+00,4.934e-09,2.175e+00,2.820e-09,2.609e-02,2.623e-08
i_abs_err,5.866e-04,3.405e-12,2.525e-03,2.673e-11,9.758e-06,8.022e-12
ne_abs_err,9.809e+13,1.731e+00,4.147e+14,1.726e+00,8.380e+13,1.582e+00
