lambda_physics_value,loss_train_total,loss_train_total_err,loss_train_data,loss_train_data_err,loss_train_physics,loss_train_physics_err,loss_train_P,loss_train_P_err,loss_train_I,loss_train_I_err,loss_train_ne,loss_train_ne_err,loss_val,loss_val_err,loss_val_physics,loss_val_physics_err,loss_val_P,loss_val_P_err,loss_val_I,loss_val_I_err,loss_val_ne,loss_val_ne_err
[0.11494253 0.11494253 0.11494253],3.25510926414728785e-01,5.38380733686246067e-03,5.46101125089255238e-03,1.29442369881159513e-04,3.21933022491730392e-01,5.33269852450870153e-03,5.86053542323108578e-01,3.58117648394613809e-03,2.14069252063913718e+00,4.42185848336933418e-02,7.40712327158071226e-02,1.76212361523602618e-03,7.21841024851134928e-03,1.93734518161949829e-04,3.81014639150319190e-01,1.03550159092591042e-02,6.28349847924080107e-01,6.58514941538124697e-03,2.61762177831401122e+00,9.04228244887551186e-02,6.88557343696856311e-02,1.00936188322963815e-03
[0.12643678 0.12643678 0.12643678],3.73123773157547300e-01,6.35692089214408024e-03,5.70917744457304435e-03,1.33307630151718664e-04,3.69580145778157065e-01,6.30492412485075381e-03,5.84174728859858550e-01,3.58982642106622568e-03,2.26583445533497230e+00,4.75585763736621758e-02,7.30337869596835859e-02,1.78496804620482973e-03,7.51027915457380679e-03,1.98207571844564859e-04,4.37158420407632253e-01,1.49441417637969504e-02,6.26491934736587597e-01,6.83632022517556212e-03,2.76327990971501114e+00,1.17548310623781571e-01,6.77538442269475516e-02,1.05741385311595992e-03
[0.13793103 0.13793103 0.13793103],4.22687559584174199e-01,7.31828156229479519e-03,5.91554941601266527e-03,1.36136429566674846e-04,4.19219823719615081e-01,7.26889865330599023e-03,5.84345013091934096e-01,3.57816697941295029e-03,2.38270658383128175e+00,5.04950835435984263e-02,7.22921250439933771e-02,1.77438056991809068e-03,7.71887139021929826e-03,1.98285162604778956e-04,4.95586400011479689e-01,1.72585231616486819e-02,6.26085143016174794e-01,6.83577868197997405e-03,2.89981353325291469e+00,1.24516724377418439e-01,6.71027238141382459e-02,1.05337908220575600e-03
[0.14942529 0.14942529 0.14942529],4.73684144463812018e-01,8.96744901622842372e-03,6.14653224845975853e-03,1.45584052924085992e-04,4.70292954257765294e-01,8.91679295307075577e-03,5.85856147398198912e-01,3.53262769554981045e-03,2.49014603985579619e+00,5.73298793730391068e-02,7.13429681633574175e-02,1.73324866918683697e-03,7.96656012611372984e-03,1.93395526196589191e-04,5.55269023581752896e-01,1.99219337323955359e-02,6.25464898916301193e-01,6.50036496076253183e-03,3.02404308973812963e+00,1.32761725390082019e-01,6.65231691619156684e-02,1.01510145656476323e-03
[0.16091954 0.16091954 0.16091954],5.24601344408776926e-01,1.01135564402492703e-02,6.32908994654074290e-03,1.48617870136766680e-04,5.21327677195049133e-01,1.00639457447574184e-02,5.85796020419176555e-01,3.57401769274675457e-03,2.58311228967334960e+00,6.01749316512246307e-02,7.07708267624213294e-02,1.73310770965864067e-03,8.15667133874116088e-03,1.94741190404067660e-04,6.16816690868413176e-01,2.23666834508414007e-02,6.25107154440887269e-01,6.50443644910817399e-03,3.14178748772585781e+00,1.38429775390582960e-01,6.61805082298228819e-02,1.02769155153913301e-03
[0.17241379 0.17241379 0.17241379],5.77046363181014543e-01,1.13957363370178096e-02,6.47490034040673103e-03,1.57869588507326058e-04,5.73920549223576826e-01,1.13490743836836324e-02,5.84864183329554033e-01,3.53794764219902578e-03,2.67358221029727794e+00,6.33585518990082142e-02,7.02927918699140786e-02,1.71360370477150240e-03,8.29812854592446025e-03,2.01725983036421508e-04,6.66542881905848095e-01,2.87127152853837199e-02,6.27209186743837077e-01,5.53359718641256281e-03,3.17298880065660427e+00,1.66269174056744407e-01,6.57507276534770313e-02,1.03858205097033139e-03
[0.18390805 0.18390805 0.18390805],6.31841202299896598e-01,1.17652359640116038e-02,6.62818808362475569e-03,1.55464525400044341e-04,6.28869945572754330e-01,1.17262448918271315e-02,5.84500498973927529e-01,3.50089078466952639e-03,2.76505984599988697e+00,6.08241831599325503e-02,6.99199840780378168e-02,1.69529415496068921e-03,8.44979627176228876e-03,2.08299925158241417e-04,7.16951054081451433e-01,3.32428817712843994e-02,6.24830322096379898e-01,5.33306186612069692e-03,3.20807833834967093e+00,1.80322207439150783e-01,6.55126961218409215e-02,1.10227004138051124e-03
[0.1954023 0.1954023 0.1954023],6.84860478407938400e-01,1.27917329044134401e-02,6.79781355625175970e-03,1.60070480218942144e-04,6.82047590039834173e-01,1.27547441606160918e-02,5.84397157133745515e-01,3.51445519111320869e-03,2.83661343345926520e+00,6.23228585717392897e-02,6.94682525520231575e-02,1.68003740533681153e-03,8.63476984279539471e-03,2.14596823006303031e-04,7.77322454112252648e-01,3.65497525411644930e-02,6.24794848455975216e-01,5.28758986130164078e-03,3.28801590886707595e+00,1.86526155208917049e-01,6.52512137220065819e-02,1.10947620086186542e-03
[0.20689655 0.20689655 0.20689655],7.41639395665058321e-01,1.58662885618464818e-02,7.08314840215978382e-03,1.70403662704220264e-04,7.38952684202170085e-01,1.58318435197203899e-02,5.85442986425157796e-01,3.56094624612643060e-03,2.91734904979698850e+00,7.44536196739463557e-02,6.88126040883426937e-02,1.71149437514883413e-03,9.01117431265177800e-03,2.38904373758480100e-04,8.50242871199383132e-01,3.23345670074093247e-02,6.24037426345573243e-01,4.86924262124195824e-03,3.42057052987346832e+00,1.55582901849457667e-01,6.48992545779762120e-02,1.09175336402652528e-03
[0.2183908 0.2183908 0.2183908],8.06412642871762619e-01,1.58382264679722932e-02,7.03675978181595579e-03,1.77373665788857054e-04,8.03986173981481533e-01,1.57979609683839076e-02,5.84417502207996042e-01,3.94582802158270109e-03,3.02793292565047789e+00,7.07243645146909961e-02,6.90599477409414575e-02,1.63905276712412963e-03,8.85090467342523023e-03,1.88405946420871140e-04,8.73524935688872572e-01,3.94027554689280052e-02,6.22406119116181378e-01,5.30403268586999554e-03,3.31284841955117892e+00,1.79605966690444763e-01,6.45701668553726044e-02,1.11373810918965728e-03
